input_name dur
sat_20-100-frag12-0_sat.cnf 325
sat_20-100-frag12-53_sat.cnf 123
sat_ACG-15-10p1.cnf 701
sat_at-least-two-vmpc_28.cnf 44
sat_Circuit_multiplier22.cnf 89
sat_Circuit_multiplier24.cnf 247
sat_Circuit_multiplier35.cnf 73
sat_Circuit_multiplier37.cnf 4
sat_Circuit_multiplier45.cnf 701
sat_edit_distance023_283.cnf 159
sat_edit_distance035_393.cnf 701
sat_erin2_0x0-379.cnf 161
sat_erin2_0x1e3-216.cnf 666
sat_ex175_20.cnf 165
sat_HCP-424-60.cnf 309
sat_Kakuro-easy-104-ext.xml.hg_6.cnf 116
sat_Kakuro-easy-115-ext.xml.hg_5.cnf 180
sat_Kakuro-easy-127-ext.xml.hg_7.cnf 225
sat_Kakuro-easy-156-ext.xml.hg_7.cnf 243
sat_ktf_TF-6.tf_4_0.06_77.cnf 129
sat_ktf_TF-7.tf_3_0.06_113.cnf 19
sat_LABS_n041_goal003.cnf 489
sat_mp1-klieber2017s-0300-034-t12.cnf 100
sat_mp1-klieber2017s-0490-024-t12.cnf 4
sat_pb_300_05_lb_16.cnf 94
sat_pb_300_05_lb_17.cnf 71
sat_prime_a22_b22.cnf 47
sat_SC21_Timetable_C_466_E_62_Cl_31_S_30.cnf 378
sat_SC21_Timetable_C_527_E_71_Cl_35_S_35.cnf 40
sat_SC21_Timetable_C_542_E_71_Cl_36_S_35.cnf 113
sat_SE_PR_WS_500_16_70_10.apx_0.cnf 133
sat_snw_13_9_pre.cnf 5
sat_sp4-33-one-nons-flat-noid.cnf 11
sat_sp5-21-15-bin-stri-flat-noid.cnf 12
sat_sp5-21-15-una-nons-tree-noid.cnf 1
sat_sp5-26-19-una-nons-tree-noid.cnf 701
sat_stb_792_333.apx_0.cnf 242
sat_sted2_0x0-343.cnf 417
sat_sum_of_3_cubes_37_bits_87.cnf 138
sat_Sz1024_34824.smt2.cnf 85
sat_Sz512_15128_1.smt2.cnf 701
sat_toughsat_factoring_426s.cnf 8
sat_toughsat_factoring_895s.cnf 45
sat_vlsat2_111_1186.cnf 8
sat_vlsat2_113_1150.cnf 38
unsat_10pipe_k.cnf 127
unsat_14pipe_q0_k.cnf 488
unsat_20-100-lambda100-14_unsat.cnf 38
unsat_20-100-lambda100-47_unsat.cnf 238
unsat_51.smt2.cnf 31
unsat_9dlx_vliw_at_b_iq5.cnf 292
unsat_at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf 4
unsat_at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf 167
unsat_at-least-two-traffic_f_unknown.cnf 70
unsat_at-least-two-traffic_kkb_unknown.cnf 70
unsat_at-least-two-vmpc_26.cnf 44
unsat_blocks-blocks-37-1.120-NOTKNOWN.cnf 458
unsat_bvsmod_18.smt2.cnf 701
unsat_bvsub_08985.smt2.cnf 200
unsat_bvsub_12973.smt2.cnf 381
unsat_bvsub_19952.smt2.cnf 701
unsat_crafted_n10_d6_c4_num15.cnf 203
unsat_crafted_n12_d6_c3_num28.cnf 170
unsat_ctl_4201_555_unsat.cnf 240
unsat_dist10.c.cnf 68
unsat_E02F17.cnf 7
unsat_edit_distance007_85.cnf 243
unsat_edit_distance031_284.cnf 385
unsat_edit_distance041_182.cnf 62
unsat_edit_distance041_183.cnf 56
unsat_huck.col.11.cnf 9
unsat_Kakuro-easy-051-ext.xml.hg_4.cnf 375
unsat_ktf_TF-3.tf_2_0.02_24.cnf 701
unsat_ktf_TF-3.tf_3_0.02_24.cnf 45
unsat_mp1-blockpuzzle_5x10_s5_free3.cnf 45
unsat_mp1-blockpuzzle_5x12_s6_free3.cnf 109
unsat_mp1-bsat201-707.cnf 45
unsat_mp1-bsat210-739.cnf 67
unsat_mp1-klieber2017s-1000-024-eq.cnf 224
unsat_mp1-klieber2017s-1200-022-eq.cnf 38
unsat_mp1-klieber2017s-2000-022-eq.cnf 92
unsat_mp1-squ_any_s09x07_c27_abix_UNS.cnf 61
unsat_mp1-tri_ali_s11_c35_abix_UNS.cnf 14
unsat_mp1-tri_ali_s11_c35_bail_UNS.cnf 7
unsat_MVD_ADS_S6_6_5.cnf 79
unsat_Mycielski-10-hints-10.cnf 52
unsat_Mycielski-11-hints-3.cnf 165
unsat_p01_lb_05.cnf 11
unsat_randomG-B-Mix-n15-d05.cnf 11
unsat_randomG-B-Mix-n16-d05.cnf 64
unsat_rphp4_080_shuffled.cnf 435
unsat_satch2ways15u.cnf 701
unsat_satch2ways15wu.cnf 701
unsat_shift1add.26949.cnf 26
unsat_snw_13_8_pre.cnf 326
unsat_sp4-33-one-stri-tree-noid.cnf 60
unsat_spg_200_301.cnf 13
unsat_spg_200_307.cnf 16
unsat_spg_200_316.cnf 74
unsat_spg_200_317.cnf 29
unsat_spg_330_400.cnf 194
unsat_spg_420_350.cnf 36
unsat_string_compare_safety_cbmc_unwinding_600.cnf 702
unsat_string_compare_safety_cbmc_unwinding_690.cnf 702
unsat_string_compare_safety_cbmc_unwinding_730.cnf 702
unsat_WS_300_24_90_10.apx_0.cnf 23
