2022-05-04T19:22:35+03:00
Running /home/dzhiblavi/itmo-parsat/build/core/tests/bench/benchmark
Run on (20 X 4937.44 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 256 KiB (x10)
  L3 Unified 20480 KiB (x1)
Load Average: 0.23, 1.00, 1.45
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.09265e+06,2.09231e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.07716e+06,2.07726e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.10861e+06,2.10395e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.02744e+06,2.02739e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.02624e+06,2.02609e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.05715e+06,2.05707e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.0424e+06,2.04246e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.07615e+06,2.07617e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.11993e+06,2.12e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.08901e+06,2.08902e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.06419e+06,2.06421e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.08885e+06,2.08881e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.12042e+06,2.12052e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.05451e+06,2.05445e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.07291e+06,2.07298e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.07603e+06,2.07601e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.0926e+06,2.09257e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.09375e+06,2.09376e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.11545e+06,2.11543e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.07806e+06,2.07803e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.06196e+06,2.06195e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.07963e+06,2.07961e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.10356e+06,2.10357e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.09421e+06,2.0942e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.08382e+06,2.08381e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.10534e+06,2.10539e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.0832e+06,2.08319e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.08356e+06,2.08358e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.04632e+06,2.04632e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.04305e+06,2.04307e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.06769e+06,2.06769e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.17573e+06,2.17573e+06,ns,,,,,
"BM_prop_random/1/0/iterations:1/repeats:100",1,2.07702e+06,2.07701e+06,ns,,,,,
